City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Ostrovnoy,RU,68.05,39.51,57.4,83,100,9.55,overcast clouds
128,Cabcaben,PH,14.45,120.59,82.4,83,74,2.24,broken clouds
129,Rafai,CF,4.95,23.92,68.86,98,74,1.12,broken clouds
130,Pyapon,MM,16.28,95.68,85.15,74,99,9.84,moderate rain
131,Elizabeth City,US,36.29,-76.25,75.2,94,1,5.82,clear sky
132,Pevek,RU,69.7,170.31,38.07,82,100,10.83,overcast clouds
133,San Quintin,MX,30.48,-115.95,75.85,75,34,6.87,scattered clouds
134,Broken Hill,AU,-31.95,141.43,57.2,58,40,24.16,scattered clouds
135,Strezhevoy,RU,60.73,77.59,50.0,100,90,6.71,light rain
136,Mehran,IR,33.12,46.16,75.2,22,0,4.7,clear sky
137,Tiksi,RU,71.69,128.87,40.66,81,98,10.16,overcast clouds
138,Parana,AR,-31.73,-60.52,41.0,51,0,4.41,clear sky
139,Guarapari,BR,-20.67,-40.5,73.4,78,90,8.05,overcast clouds
140,Alice Springs,AU,-23.7,133.88,75.0,17,0,6.93,clear sky
141,Ahipara,NZ,-35.17,173.17,58.17,83,8,15.55,light rain
142,Betanzos,ES,43.28,-8.21,66.0,100,75,4.7,broken clouds
143,Lamu,KE,-2.27,40.9,77.34,77,64,11.48,broken clouds
144,Pangody,RU,65.85,74.49,56.35,93,100,4.07,light rain
145,East Stroudsburg,US,41.0,-75.18,60.01,1,86,1.95,overcast clouds
146,Klaksvik,FO,62.23,-6.59,55.4,82,82,10.29,broken clouds
147,Bajos De Haina,DO,18.42,-70.03,79.0,94,20,4.7,few clouds
148,Anito,PH,12.45,125.29,88.38,63,76,5.84,broken clouds
149,Puerto Ayora,EC,-0.74,-90.35,66.0,86,88,5.99,overcast clouds
150,Tarakan,ID,3.3,117.63,83.53,71,47,5.37,scattered clouds
151,Along,IN,28.17,94.77,88.75,54,40,3.76,light rain
152,Tuktoyaktuk,CA,69.45,-133.04,51.8,81,90,9.17,overcast clouds
153,Ladario,BR,-19.0,-57.6,49.62,86,100,8.19,light rain
154,Abong Mbang,CM,3.98,13.18,67.08,99,100,2.91,moderate rain
155,Cherskiy,RU,68.75,161.3,44.04,60,98,19.62,overcast clouds
156,Georgetown,MY,5.41,100.34,87.8,83,40,5.82,shower rain
157,Provideniya,RU,64.38,-173.3,53.6,71,75,13.42,broken clouds
158,Redmond,US,47.67,-122.12,71.01,83,92,3.49,light rain
159,Sao Joao Dos Patos,BR,-6.5,-43.7,71.29,48,18,2.57,few clouds
160,Joplin,US,37.08,-94.51,73.0,56,1,5.82,clear sky
161,Nikolskoye,RU,59.7,30.79,59.0,82,0,2.24,clear sky
162,Barrow,US,71.29,-156.79,46.4,87,90,8.05,overcast clouds
163,Surt,LY,31.21,16.59,78.4,73,0,6.96,clear sky
164,Lagoa,PT,39.05,-27.98,68.86,75,73,11.3,broken clouds
165,Llanes,ES,43.42,-4.75,68.0,98,56,1.99,broken clouds
166,Aklavik,CA,68.22,-135.01,60.8,67,75,5.82,broken clouds
167,Saint George,US,37.1,-113.58,95.0,13,1,5.82,clear sky
168,Chuy,UY,-33.7,-53.46,37.18,80,0,8.19,clear sky
169,Vila Franca Do Campo,PT,37.72,-25.43,71.6,94,75,4.7,broken clouds
170,Isangel,VU,-19.55,169.27,84.2,62,20,5.82,few clouds
171,Velikooktyabrskiy,RU,57.43,33.82,58.35,69,0,1.97,clear sky
172,Verkhniy Fiagdon,RU,42.83,44.31,62.6,100,75,4.47,broken clouds
173,Makurdi,NG,7.74,8.51,72.64,95,100,3.87,light rain
174,Airai,TL,-8.93,125.41,78.57,31,0,5.48,clear sky
175,Mataram,ID,-8.58,116.12,86.0,58,40,8.05,scattered clouds
176,New Norfolk,AU,-42.78,147.06,51.01,77,66,1.01,light rain
177,Sao Joao Da Barra,BR,-21.64,-41.05,69.33,79,80,20.15,broken clouds
178,Ulladulla,AU,-35.35,150.47,59.0,44,40,17.22,scattered clouds
179,Kendari,ID,-3.94,122.5,85.37,56,6,6.93,clear sky
180,Krasnobrodskiy,RU,54.16,86.45,60.98,88,99,4.99,light rain
181,Khani,GE,41.96,42.96,69.8,94,75,4.7,broken clouds
182,Atuona,PF,-9.8,-139.03,78.76,77,64,20.65,light rain
183,Dalby,AU,-27.18,151.27,70.0,23,44,3.0,scattered clouds
184,Raga,SS,8.46,25.68,70.59,95,44,1.05,scattered clouds
185,Matara,LK,5.95,80.54,85.64,66,80,12.08,broken clouds
186,Port Hardy,CA,50.7,-127.42,60.8,93,90,8.05,light rain
187,Vostok,RU,46.49,135.88,66.92,49,0,9.46,clear sky
188,Saint Anthony,US,45.02,-93.22,75.99,69,1,6.93,clear sky
189,Kumla,SE,59.13,15.14,60.01,93,40,3.42,fog
190,Hambantota,LK,6.12,81.12,87.8,70,40,9.17,scattered clouds
191,Yerofey Pavlovich,RU,53.97,121.97,73.69,52,100,5.93,overcast clouds
192,Havelock,US,34.88,-76.9,75.2,88,1,3.36,light rain
193,Khash,IR,28.22,61.22,92.39,10,0,11.81,clear sky
194,Sur,OM,22.57,59.53,90.72,55,98,5.14,overcast clouds
195,Riyadh,SA,24.69,46.72,84.2,26,1,2.24,clear sky
196,Kondol,RU,52.82,45.06,56.89,59,0,6.93,clear sky
197,Takoradi,GH,4.88,-1.76,74.82,87,100,11.48,overcast clouds
198,Tartagal,AR,-22.52,-63.8,41.67,62,0,3.27,clear sky
199,Omsukchan,RU,62.53,155.8,45.52,85,100,9.13,light rain
200,Borovoy,RU,55.43,86.08,60.8,67,40,6.71,scattered clouds
201,Bambous Virieux,MU,-20.34,57.76,73.0,82,75,8.05,broken clouds
202,Altensteig,DE,48.58,8.6,70.0,78,0,4.43,clear sky
203,Kodiak,US,57.79,-152.41,61.38,72,0,6.35,clear sky
204,Celestun,MX,20.87,-90.4,76.95,82,42,10.92,light rain
205,Saint-Augustin,CA,51.23,-58.65,54.05,79,70,12.01,broken clouds
206,Lima,PE,-12.04,-77.03,60.8,82,90,9.17,overcast clouds
207,Kavieng,PG,-2.57,150.8,84.7,70,23,7.31,few clouds
208,Sisimiut,GL,66.94,-53.67,50.88,69,1,1.43,clear sky
209,Hobart,AU,-42.88,147.33,51.01,53,75,8.05,shower rain
210,Biak,ID,-0.91,122.88,83.37,64,42,7.0,scattered clouds
211,Lugo,ES,43.0,-7.5,57.0,92,17,10.0,few clouds
212,Komsomolskiy,UZ,40.43,71.72,77.0,47,1,4.7,clear sky
213,Puerto Escondido,MX,15.85,-97.07,81.32,75,100,3.04,light rain
214,Lorengau,PG,-2.02,147.27,85.91,68,6,10.67,clear sky
215,Bavleny,RU,56.4,39.56,56.3,76,0,5.41,clear sky
216,Safranbolu,TR,41.25,32.69,64.76,61,1,0.63,clear sky
217,Mabaruma,GY,8.2,-59.78,74.66,93,53,2.59,broken clouds
218,Saint-Ambroise,CA,48.55,-71.33,59.0,77,75,8.05,broken clouds
219,Kurumkan,RU,54.3,110.3,72.79,53,85,2.64,overcast clouds
220,Arraial Do Cabo,BR,-22.97,-42.03,68.14,85,100,19.08,light rain
221,Kholmogory,RU,64.22,41.66,51.8,87,0,2.24,clear sky
222,Lodja,CD,-3.48,23.43,72.43,84,100,2.08,overcast clouds
223,Rottweil,DE,48.17,8.63,68.0,79,0,6.02,clear sky
224,Pilar,BR,-9.6,-35.96,73.4,94,75,5.06,broken clouds
225,Pemangkat,ID,1.17,108.97,86.22,66,88,7.61,overcast clouds
226,La Asuncion,VE,11.03,-63.86,82.4,83,27,6.93,scattered clouds
227,Hasaki,JP,35.73,140.83,100.0,56,20,10.29,few clouds
228,Mahebourg,MU,-20.41,57.7,62.6,82,75,8.05,broken clouds
229,Jinchang,CN,38.5,102.17,78.26,40,95,15.1,overcast clouds
230,Kedrovyy,RU,56.17,91.82,66.2,68,40,2.24,scattered clouds
231,Victoria,HK,22.29,114.16,89.01,74,32,8.99,scattered clouds
232,Port Hedland,AU,-20.32,118.57,91.4,8,0,12.75,clear sky
233,Synya,RU,65.37,58.04,52.79,86,98,8.7,overcast clouds
234,Khatanga,RU,71.97,102.5,56.01,44,0,16.78,clear sky
235,Huarmey,PE,-10.07,-78.15,60.85,81,99,6.2,overcast clouds
236,Lander,US,42.83,-108.73,78.8,26,1,19.46,clear sky
237,Yumen,CN,40.28,97.2,77.92,41,24,13.78,few clouds
238,Sinnamary,GF,5.38,-52.95,78.1,85,56,12.19,broken clouds
239,Kasongo,CD,-4.45,26.67,72.88,81,29,2.91,scattered clouds
240,Hakkari,TR,37.58,44.17,73.67,19,0,3.44,clear sky
241,Chenghai,CN,23.46,116.77,91.4,59,40,4.47,scattered clouds
242,Fuyang,CN,32.9,115.82,72.05,96,100,10.63,light rain
243,Fort Nelson,CA,58.81,-122.7,57.2,100,90,3.4,light rain
244,Saint-Philippe,RE,-21.36,55.77,72.0,43,34,8.05,scattered clouds
245,Comodoro Rivadavia,AR,-45.87,-67.5,50.0,57,0,4.7,clear sky
246,Olafsvik,IS,64.89,-23.71,48.83,76,0,18.95,clear sky
247,Monastyrshchina,RU,54.35,31.84,55.8,84,100,7.85,overcast clouds
248,Swellendam,ZA,-34.02,20.44,41.0,100,24,2.24,few clouds
249,Nouadhibou,MR,20.93,-17.03,73.4,83,0,4.7,clear sky
250,Quatre Cocos,MU,-20.21,57.76,73.0,82,75,8.05,broken clouds
251,Kieta,PG,-6.22,155.63,83.3,73,10,4.34,light rain
252,Guiratinga,BR,-16.35,-53.76,62.96,61,33,8.72,scattered clouds
253,Carbonia,IT,39.17,8.52,77.0,88,20,2.24,few clouds
254,Krasnoselkup,RU,65.7,82.47,62.74,73,6,15.01,clear sky
255,Khuzhir,RU,53.19,107.34,59.04,82,74,7.65,broken clouds
256,Omboue,GA,-1.57,9.26,72.86,82,100,5.17,overcast clouds
257,Ergani,TR,38.27,39.76,75.2,30,0,3.36,clear sky
258,Balud,PH,10.15,123.7,87.8,66,40,8.05,scattered clouds
259,Codrington,AU,-38.27,141.97,49.93,73,91,22.32,light rain
260,Vardo,NO,70.37,31.11,42.8,93,75,8.05,broken clouds
261,Ayan,RU,56.45,138.17,61.36,56,41,13.56,scattered clouds
262,Cap Malheureux,MU,-19.98,57.61,73.0,57,48,3.0,scattered clouds
263,Bubaque,GW,11.28,-15.83,78.73,87,100,27.02,moderate rain
264,Aktanysh,RU,55.72,54.08,54.39,87,100,9.22,overcast clouds
265,Ancud,CL,-41.87,-73.82,46.0,87,90,6.93,overcast clouds
266,Luena,AO,-11.78,19.92,54.99,34,1,5.93,clear sky
267,Hovd,MN,48.01,91.64,66.9,47,0,5.59,clear sky
268,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,64.4,68,40,8.95,scattered clouds
269,East London,ZA,-33.02,27.91,55.4,62,70,10.29,broken clouds
270,Bay Roberts,CA,47.6,-53.26,59.0,1,0,13.47,clear sky
271,Yelovo,RU,57.05,54.92,56.25,86,93,11.99,overcast clouds
272,Araouane,ML,18.9,-3.53,93.65,24,0,1.74,clear sky
273,Palora,EC,-1.7,-77.93,65.82,96,98,2.75,moderate rain
274,Santa Fe,AR,-31.63,-60.7,41.0,51,0,4.83,clear sky
275,Nirmal,IN,19.1,78.35,77.13,89,100,11.3,moderate rain
276,Vorobyevka,RU,50.65,40.92,63.09,50,52,10.51,broken clouds
277,Kirakira,SB,-10.45,161.92,84.04,70,19,2.13,light rain
278,Margate,GB,51.38,1.39,69.01,67,34,3.0,scattered clouds
279,Severo-Kurilsk,RU,50.68,156.12,55.09,73,18,18.92,few clouds
280,Rengali,IN,21.63,84.05,78.8,94,90,6.93,moderate rain
281,Caravelas,BR,-17.71,-39.25,69.55,90,4,2.06,clear sky
282,Pangnirtung,CA,66.15,-65.71,50.83,69,3,3.04,clear sky
283,Stephenville Crossing,CA,48.5,-58.43,62.6,72,75,16.11,broken clouds
284,Marfino,RU,55.7,37.38,59.0,76,0,2.24,clear sky
285,Makakilo City,US,21.35,-158.09,84.2,61,1,9.17,clear sky
286,Methala,IN,10.22,76.22,84.2,79,40,3.36,haze
287,Hami,CN,42.8,93.45,85.33,25,95,7.11,overcast clouds
288,Turayf,SA,31.67,38.66,73.4,43,0,6.93,clear sky
289,Karpinsk,RU,59.77,60.01,58.89,86,70,7.65,light rain
290,Dong Hoi,VN,17.48,106.6,86.4,71,100,5.1,light rain
291,Abatskoye,RU,56.29,70.46,59.04,78,100,8.41,overcast clouds
292,Voskresenskoye,RU,56.84,45.43,54.43,66,0,6.2,clear sky
293,Andenes,NO,69.31,16.12,44.6,81,75,4.7,broken clouds
294,Geraldton,AU,-28.77,114.6,64.4,63,100,11.41,overcast clouds
295,Nome,US,64.5,-165.41,60.01,81,1,14.99,clear sky
296,Ixtapa,MX,20.7,-105.2,80.6,94,75,1.1,broken clouds
297,Tautira,PF,-17.73,-149.15,78.8,78,75,4.7,shower rain
298,Bonavista,CA,48.65,-53.11,59.0,83,3,10.0,clear sky
299,Banda Aceh,ID,5.56,95.32,84.9,67,94,7.92,light rain
300,Oyama,JP,36.3,139.8,102.0,49,20,8.05,few clouds
301,Noumea,NC,-22.28,166.46,80.6,51,13,9.17,few clouds
302,Tuatapere,NZ,-46.13,167.68,50.0,92,78,1.99,broken clouds
303,Guadalupe Victoria,MX,32.29,-115.11,95.0,44,40,14.99,scattered clouds
304,Aguadulce,PA,8.25,-80.55,74.91,93,100,8.37,overcast clouds
305,Gagnoa,CI,6.13,-5.94,71.98,88,97,4.34,overcast clouds
306,Saskylakh,RU,71.92,114.08,46.0,57,100,4.65,overcast clouds
307,Qarqin,AF,37.42,66.04,87.37,13,0,5.12,clear sky
308,Barra Do Garcas,BR,-15.89,-52.26,70.21,51,36,6.11,scattered clouds
309,Thinadhoo,MV,0.53,72.93,83.98,62,70,4.03,broken clouds
310,Pahrump,US,36.21,-115.98,88.0,15,0,3.0,clear sky
311,Japura,ID,-0.32,102.35,91.56,50,40,5.19,scattered clouds
312,Mortka,RU,59.33,66.02,61.93,79,4,6.8,clear sky
313,Oktyabrskoye,RU,43.06,44.74,62.6,100,75,4.47,broken clouds
314,Atasu,KZ,48.68,71.64,68.16,33,92,20.89,overcast clouds
315,Panevezys,LT,55.73,24.35,57.2,100,62,1.01,broken clouds
316,Kamaishi,JP,39.27,141.88,89.6,52,40,8.05,scattered clouds
317,Birao,CF,10.28,22.79,71.33,91,29,2.06,scattered clouds
318,Moron,AR,-34.65,-58.62,46.99,50,0,7.14,clear sky
319,Princesa Isabel,BR,-7.74,-37.99,63.75,94,17,5.39,few clouds
320,Sidlaghatta,IN,13.39,77.86,73.4,94,75,12.75,mist
321,Stillwater,US,36.12,-97.06,73.4,69,1,8.05,clear sky
322,Olinda,BR,-8.01,-34.86,75.2,94,90,10.29,shower rain
323,Tiruchchendur,IN,8.48,78.12,91.4,52,20,4.7,few clouds
324,Lasa,IT,46.62,10.7,60.8,100,40,1.66,scattered clouds
325,Novooleksiyivka,UA,46.23,34.64,74.84,60,100,6.06,overcast clouds
326,Port Shepstone,ZA,-30.74,30.45,55.99,60,0,8.57,clear sky
327,Kavaratti,IN,10.57,72.64,84.2,79,90,5.82,overcast clouds
328,Talnakh,RU,69.49,88.4,69.8,37,0,11.18,clear sky
329,Padang,ID,-0.95,100.35,86.63,65,50,5.59,light rain
330,Biryusinsk,RU,55.96,97.82,74.28,51,100,6.67,overcast clouds
331,Simao,CN,22.79,100.97,76.35,84,35,1.95,moderate rain
332,Dwarka,IN,22.24,68.97,80.83,86,100,3.58,overcast clouds
333,Laguna,US,38.42,-121.42,77.0,53,90,4.7,smoke
334,Nueve De Julio,AR,-35.44,-60.88,42.01,42,0,1.01,clear sky
335,Walvis Bay,NA,-22.96,14.51,57.2,12,0,10.29,clear sky
336,Mitsamiouli,KM,-11.38,43.28,71.6,73,20,4.7,few clouds
337,Kaupanger,NO,61.18,7.24,60.8,72,40,17.22,scattered clouds
338,Saquena,PE,-4.67,-73.52,74.57,96,34,3.36,moderate rain
339,Sakaiminato,JP,35.55,133.23,87.8,74,40,8.05,scattered clouds
340,Gumdag,TM,39.21,54.59,88.29,23,0,11.56,clear sky
341,Dingle,PH,11.0,122.67,87.3,73,100,8.05,light rain
342,Tabas,IR,33.6,56.92,93.2,14,0,2.24,clear sky
343,Asosa,ET,10.07,34.53,64.94,100,93,2.26,light rain
344,Kandrian,PG,-6.22,149.55,83.53,69,36,12.44,scattered clouds
345,Madingou,CG,-4.15,13.55,70.41,85,100,2.48,overcast clouds
346,Camacha,PT,33.08,-16.33,73.4,88,40,6.93,scattered clouds
347,Majene,ID,-3.54,118.97,86.27,61,1,8.1,light rain
348,Changde,CN,29.05,111.68,78.84,87,100,8.93,overcast clouds
349,Portland,US,45.52,-122.68,72.0,73,90,6.93,light rain
350,Nyurba,RU,63.28,118.33,64.08,38,100,1.81,overcast clouds
351,Fraga,ES,41.52,0.35,71.6,68,0,13.87,clear sky
352,Westport,US,41.14,-73.36,73.4,64,1,11.41,clear sky
353,Soyo,AO,-6.13,12.37,70.92,88,47,3.67,scattered clouds
354,Chokurdakh,RU,70.63,147.92,41.79,69,96,5.19,overcast clouds
355,Nantucket,US,41.28,-70.1,64.4,93,1,6.93,clear sky
356,Ferrol,ES,43.48,-8.24,66.0,100,75,4.7,broken clouds
357,Sept-Iles,CA,50.2,-66.38,57.0,76,40,3.36,scattered clouds
358,Raudeberg,NO,61.99,5.14,62.01,90,96,5.32,overcast clouds
359,Pundaguitan,PH,6.37,126.17,84.11,72,29,5.66,scattered clouds
360,Souillac,MU,-20.52,57.52,62.6,82,75,8.05,broken clouds
361,Narsaq,GL,60.92,-46.05,44.6,70,0,3.36,clear sky
362,Fortuna,US,40.6,-124.16,64.99,89,1,2.42,clear sky
363,Tongliao,CN,43.61,122.27,77.14,27,0,6.42,clear sky
364,Alofi,NU,-19.06,-169.92,80.6,78,7,6.93,clear sky
365,Zaysan,KZ,47.47,84.87,84.67,18,57,1.12,broken clouds
